GE_City	GE_Count	latitude	longitude	name	desc	color	source	precision		
"Andalusia,  AL"	1	31.3195896	-86.4954224	ANDALUSIA	 AL	Andalusia	 AL		Bing Maps	city/town
"Bessemer,  AL"	1	33.4015388	-86.9544067	BESSEMER	 AL	Bessemer	 AL		Bing Maps	city/town
"Birmingham,  AL"	4	33.5206795	-86.8117599	BIRMINGHAM	 AL	Birmingham	 AL		Bing Maps	city/town
"Huntsville,  AL"	2	34.7291298	-86.5849762	HUNTSVILLE	 AL	Huntsville	 AL		Bing Maps	city/town
"Mobile,  AL"	3	30.6863899	-88.0532379	MOBILE	 AL	Mobile	 AL		Bing Maps	city/town
"Tuscaloosa,  AL"	1	33.2104912	-87.5659332	TUSCALOOSA	 AL	Tuscaloosa	 AL		Bing Maps	city/town
"Tuskegee,  AL"	1	32.4240494	-85.6897812	TUSKEGEE	 AL	Tuskegee	 AL		Bing Maps	city/town
"Winfield,  AL"	1	33.9285812	-87.8165512	WINFIELD	 AL	Winfield	 AL		Bing Maps	city/town
"Fort Smith,  AR"	1	35.3846016	-94.4213028	FORT SMITH	 AR	Fort Smith	 AR		Bing Maps	city/town
"Harrison,  AR"	1	36.2286186	-93.1105194	HARRISON	 AR	Harrison	 AR		Bing Maps	city/town
"Fort Mohave,  AZ"	1	35.0201912	-114.5979919	FORT MOHAVE	 AZ	Fort Mohave	 AZ		Bing Maps	city/town
"Green Valley,  AZ"	1	31.8814697	-110.9952316	GREEN VALLEY	 AZ	Green Valley	 AZ		Bing Maps	city/town
"Kayenta,  AZ"	1	36.7244492	-110.2564697	KAYENTA	 AZ	Kayenta	 AZ		Bing Maps	city/town
"Lake Havasu City,  AZ"	1	34.4739799	-114.3458633	LAKE HAVASU CITY	 AZ	Lake Havasu City	 AZ		Bing Maps	city/town
"Luke Air Force Base,  AZ"	2	33.5344009	-112.3622284	LUKE AFB	 AZ	Luke Air Force Base	 AZ		Bing Maps	MilitaryBase
"Phoenix,  AZ"	2	33.4482498	-112.075798	PHOENIX	 AZ	Phoenix	 AZ		Bing Maps	city/town
"Scottsdale,  AZ"	1	33.4939995	-111.9206924	SCOTTSDALE	 AZ	Scottsdale	 AZ		Bing Maps	city/town
"Chico,  CA"	1	39.7319984	-121.84198	CHICO	 CA	Chico	 CA		Bing Maps	city/town
"Crescent City,  CA"	1	41.7528114	-124.2004623	CRESCENT CITY	 CA	Crescent City	 CA		Bing Maps	city/town
"Folsom,  CA"	1	38.6817513	-121.1628265	FOLSOM	 CA	Folsom	 CA		Bing Maps	city/town
"Huntington Park,  CA"	1	33.9813995	-118.2191391	HUNTINGTON PARK	 CA	Huntington Park	 CA		Bing Maps	city/town
"Irvine,  CA"	1	33.6872406	-117.8258209	IRVINE	 CA	Irvine	 CA		Bing Maps	city/town
"La Jolla,  CA"	1	32.8370476	-117.2553864	LA JOLLA	 CA	La Jolla	 CA		Bing Maps	Neighborhood
"Isabella Lake,  CA"	1	35.6697159	-118.4238052	LAKE ISABELLA	 CA	Isabella Lake	 CA		Bing Maps	Lake
"Lone Pine,  CA"	1	36.6045189	-118.0628128	LONE PINE	 CA	Lone Pine	 CA		Bing Maps	city/town
"Los Banos,  CA"	1	37.0613899	-120.8475571	LOS BANOS	 CA	Los Banos	 CA		Bing Maps	city/town
"Moreno Valley,  CA"	1	33.9165802	-117.2611313	MORENO VALLEY	 CA	Moreno Valley	 CA		Bing Maps	city/town
"Oakland,  CA"	2	37.8050804	-122.2730713	OAKLAND	 CA	Oakland	 CA		Bing Maps	city/town
"Ridgecrest,  CA"	1	35.6224785	-117.6688614	RIDGECREST	 CA	Ridgecrest	 CA		Bing Maps	city/town
"San Diego,  CA"	3	32.7156906	-117.1617203	SAN DIEGO	 CA	San Diego	 CA		Bing Maps	city/town
"San Francisco,  CA"	1	37.7771187	-122.4196396	SAN FRANCISCO	 CA	San Francisco	 CA		Bing Maps	city/town
"San Jose,  CA"	2	37.3385811	-121.8855667	SAN JOSE	 CA	San Jose	 CA		Bing Maps	city/town
"San Luis Obispo,  CA"	1	35.2855186	-120.6625214	SAN LUIS OBISPO	 CA	San Luis Obispo	 CA		Bing Maps	city/town
"San Mateo,  CA"	1	37.5470314	-122.314827	SAN MATEO	 CA	San Mateo	 CA		Bing Maps	city/town
"Sherman Oaks,  CA"	1	34.1503868	-118.4418106	SHERMAN OAKS	 CA	Sherman Oaks	 CA		Bing Maps	Neighborhood
"Thousand Oaks,  CA"	1	34.18536	-118.8927765	THOUSAND OAKS	 CA	Thousand Oaks	 CA		Bing Maps	city/town
"Woodland Hills,  CA"	1	34.1661758	-118.6048813	WOODLAND HILLS	 CA	Woodland Hills	 CA		Bing Maps	Neighborhood
"Arvada,  CO"	1	39.8020287	-105.0878372	ARVADA	 CO	Arvada	 CO		Bing Maps	city/town
"Aurora,  CO"	1	39.7093201	-104.8145828	AURORA	 CO	Aurora	 CO		Bing Maps	city/town
"Broomfield,  CO"	1	39.9208603	-105.0705795	BROOMFIELD	 CO	Broomfield	 CO		Bing Maps	city/town
"Cheyenne Wells,  CO"	1	38.819519	-102.3480835	CHEYENNE WELLS	 CO	Cheyenne Wells	 CO		Bing Maps	city/town
"Colorado Springs,  CO"	1	38.8334312	-104.8218079	COLORADO SPRINGS	 CO	Colorado Springs	 CO		Bing Maps	city/town
"Denver,  CO"	1	39.7400093	-104.9923019	DENVER	 CO	Denver	 CO		Bing Maps	city/town
"Golden,  CO"	1	39.756649	-105.2249527	GOLDEN	 CO	Golden	 CO		Bing Maps	city/town
